B_target,B_measured,J_steady,J_over_J_lte,hf_fraction,t_lag,t_lag_over_lte,c_metal_gamma
1.000000000000000021e-02,1.557014931149160002e-02,2.713037801217673728e+18,9.661662218584282646e-01,1.533143721636294476e-02,8.159216450305974831e+03,1.030737046160378423e+00,6.591989407944854716e+24
3.162277660168379134e-02,4.966993522438374609e-02,2.755478598759002112e+18,9.812802261656147218e-01,4.731957706263487801e-02,8.155858603900835988e+03,1.030312856324727910e+00,6.534549980045620453e+24
1.000000000000000056e-01,1.614383003309084186e-01,2.886120514059152896e+18,1.027804386523883284e+00,1.389986079829880483e-01,8.150752488138495210e+03,1.029667811214050488e+00,6.357739079494876701e+24
3.162277660168379412e-01,5.553892071534278774e-01,3.265695475105772544e+18,1.162978509738043842e+00,3.570741149998175046e-01,8.174876103117785533e+03,1.032715297917939923e+00,5.844021983989016918e+24
1.000000000000000000e+00,2.235921169707526079e+00,4.191953094369471488e+18,1.492837100012727847e+00,6.909690060301896253e-01,8.415412330183713493e+03,1.063101745157147615e+00,4.590423750387516435e+24
3.162277660168379523e+00,1.239128583117501314e+01,5.648339060609646592e+18,2.011484840909799843e+00,9.253246137025908924e-01,9.121273626483087355e+03,1.152271752103006808e+00,2.619345355644617080e+24
1.000000000000000000e+01,9.628519139131914528e+01,6.796075774294497280e+18,2.420216500988918273e+00,9.897209673794729046e-01,9.831440571935941989e+03,1.241985682857885021e+00,1.065980338076562884e+24
3.162277660168379256e+01,8.865686283825854161e+02,7.313191591349660672e+18,2.604371633292338561e+00,9.988733311754770527e-01,1.017131875972257876e+04,1.284921795837263403e+00,3.660967669043955551e+23
1.000000000000000000e+02,8.640814612659034538e+03,7.495920018325963776e+18,2.669444826831548045e+00,9.998842841316964991e-01,1.029248100391886874e+04,1.300227973146037108e+00,1.187827451824075650e+23
