Da,k_plus,J_steady,J_over_J_lte,t_lag,t_lag_over_lte,D_app_over_lte,c_metal_gamma,c_H2_gamma
1.000000000000000021e-02,3.599441958625569026e-34,7.358425189427249600e+16,2.620480208903069874e-02,1.177895797261572443e+04,1.488011553742501603e+00,6.720377926400488144e-01,1.016422793142031375e+25,1.398696784186962954e+23
3.162277660168379134e-02,1.138243489483435083e-33,2.187714937379509120e+17,7.790883984744086110e-02,1.160139221667326092e+04,1.465580036709698053e+00,6.823237045757331032e-01,9.967730523849082620e+24,4.158428753382973479e+23
1.000000000000000056e-01,3.599441958625569539e-33,5.836303781825583360e+17,2.078422782009760328e-01,1.115534403764762283e+04,1.409231686927059135e+00,7.096065248011694804e-01,9.473929298237703898e+24,1.109369221223021518e+24
3.162277660168379412e-01,1.138243489483435117e-32,1.249690876555550976e+18,4.450395465004988726e-01,1.032458441819345171e+04,1.304283531495614490e+00,7.667044594615910480e-01,8.572483020076861012e+24,2.375420595501747344e+24
1.000000000000000000e+00,3.599441958625568718e-32,1.991310230372751616e+18,7.091448121230640167e-01,9.320574084580352064e+03,1.177448969392037137e+00,8.492937069844641584e-01,7.568775846601173523e+24,3.785094415532544804e+24
3.162277660168379523e+00,1.138243489483435445e-31,2.477963471245144064e+18,8.824516207778523302e-01,8.555066651595921940e+03,1.080743988577538062e+00,9.252885147352871709e-01,6.910139210063757969e+24,4.710127583570065667e+24
1.000000000000000000e+01,3.599441958625568937e-31,2.693223015968968192e+18,9.591097863778442756e-01,8.161061857434673584e+03,1.030970172650450545e+00,9.699601661890651094e-01,6.618806747404972327e+24,5.119294182447836184e+24
3.162277660168379256e+01,1.138243489483435095e-30,2.770529153464501248e+18,9.866400252698362960e-01,8.005184953771946311e+03,1.011278563753382986e+00,9.888472235468709348e-01,6.514180549620520446e+24,5.266238140427471874e+24
1.000000000000000000e+02,3.599441958625569375e-30,2.796054196934892032e+18,9.957299962247161407e-01,7.950616653839039827e+03,1.004385062566179210e+00,9.956340822562859127e-01,6.479634947643543214e+24,5.314756284447358076e+24
