Da,k_plus,k_minus,c_metal,c_H2,J,c_metal_ref,J_ref,J_over_J_lte,err
1.000000000000000021e-02,3.599441958625569026e-34,2.817193181180533940e-09,1.016422793142031375e+25,1.398696784186962954e+23,7.358425189427249600e+16,1.016423664441806252e+25,7.358481591511836800e+16,2.620471631295908863e-02,7.664908022952943156e-06
1.000000000000000056e-01,3.599441958625569539e-33,2.817193181180534353e-08,9.473929298237703898e+24,1.109369221223021518e+24,5.836303781825583360e+17,9.473938150467324128e+24,5.836332110669029120e+17,2.078415978716959822e-01,4.853877899391179085e-06
1.000000000000000000e+00,3.599441958625568718e-32,2.817193181180533361e-07,7.568775846601173523e+24,3.785094415532544804e+24,1.991310230372751616e+18,7.568782535358077727e+24,1.991316369173720064e+18,7.091424908822479001e-01,3.082785369201701542e-06
1.000000000000000000e+01,3.599441958625568937e-31,2.817193181180533678e-06,6.618806747404972327e+24,5.119294182447836184e+24,2.693223015968968192e+18,6.618811071034227918e+24,2.693232170909459968e+18,9.591066469276992024e-01,3.399239245194252135e-06
1.000000000000000000e+02,3.599441958625569375e-30,2.817193181180534017e-05,6.479634947643543214e+24,5.314756284447358076e+24,2.796054196934892032e+18,6.479638847310430919e+24,2.796063873400614912e+18,9.957267369057877238e-01,3.460745591321590098e-06
1.000000000000000000e+03,3.599441958625568675e-29,2.817193181180533746e-04,6.465037876184486305e+24,5.335257368168084063e+24,2.806839663695659008e+18,6.465041733670654815e+24,2.806849402343615488e+18,9.995676415761898248e-01,3.469601165040359092e-06
1.000000000000000000e+04,3.599441958625568562e-28,2.817193181180533638e-03,6.463570989530055052e+24,5.337317562912555053e+24,2.807923517625955840e+18,6.463574841783017439e+24,2.807933260789938688e+18,9.999536220548514986e-01,3.469870213379522284e-06
