a_F,c_0,c_m,c_H2,c_HF,w_rec,w_F,J,B,n_flux,n_flux_pred,n_conc,n_conc_pred,err_analytical
1.000000000000000056e-01,6.812920690579608342e-03,6.636158907387754852e-03,1.100965126102464605e-05,2.654463562955102049e-04,2.201930252205255148e-05,1.327231781477550753e-04,1.767617831918601851e-04,3.013791604316973238e+00,1.249708238515552239e+00,1.249140986523681329e+00,1.076960922750267002e+00,1.076598027787475376e+00,7.294165271787278471e-14
1.000000000000000056e-01,8.254041852680181826e-03,8.028997115682895078e-03,1.611619867090734466e-05,3.211598846273157966e-04,3.223239734182955645e-05,1.605799423136579796e-04,2.250447369973171061e-04,2.490971127755141179e+00,1.286979252836434995e+00,1.286453242780912776e+00,1.091617939293385575e+00,1.091208549213997125e+00,2.272626531407695438e-13
1.000000000000000056e-01,1.000000000000000021e-02,9.711458407451382599e-03,2.357810609989762605e-05,3.884583362980552671e-04,4.715621219986289276e-05,1.942291681490277691e-04,2.885415925487535681e-04,2.059422916813412829e+00,1.327316497490937053e+00,1.326859027728524820e+00,1.108707441705739427e+00,1.108252151730162449e+00,7.035483307049616997e-13
1.000000000000000056e-01,1.211527658628588217e-02,1.174253860145061876e-02,3.447180320156282554e-05,4.697015440580247546e-04,6.894360640343220924e-05,2.348507720290125399e-04,3.727379848358769584e-04,1.703209218957546511e+00,1.370293256602479914e+00,1.369930670917745452e+00,1.128492260439944772e+00,1.127994480864384030e+00,2.173372593006206444e-12
1.000000000000000056e-01,1.467799267622068964e-02,1.419270566865204336e-02,5.035822354890126800e-05,5.677082267460817561e-04,1.007164470991853003e-04,2.838541133730408238e-04,4.852870075714114245e-04,1.409174576489488517e+00,1.415325358586411397e+00,1.415079923953515673e+00,1.151210613901881175e+00,1.150677332899443517e+00,6.679101716144941747e-12
1.000000000000000056e-01,1.778279410038922925e-02,1.714589451155666688e-02,7.349542465035726376e-05,6.858357804622666276e-04,1.469908493007145275e-04,3.429178902311334765e-04,6.368995888325625857e-04,1.166459993470717826e+00,1.461695572294921419e+00,1.461582490797800338e+00,1.177053934540257529e+00,1.176496336749639493e+00,1.110223024625156540e-16
1.000000000000000056e-01,2.154434690031883232e-02,2.070174947923323489e-02,1.071406078752333655e-04,8.280699791693294561e-04,2.142812157504667852e-04,4.140349895846648365e-04,8.425974210855984069e-04,9.661019239008189485e-01,1.508595428714610165e+00,1.508620630417757180e+00,1.206141122800353571e+00,1.205574874183316547e+00,1.110223024625156540e-16
1.000000000000000056e-01,2.610157215682535822e-02,2.497810437140823153e-02,1.559764244972407427e-04,9.991241748563293914e-04,3.119528489944814855e-04,4.995620874281643704e-04,1.123467785417127341e-03,8.007012743086082684e-01,1.555179949628389124e+00,1.555339197160260145e+00,1.238491337938352643e+00,1.237936325112489522e+00,2.220446049250313081e-16
1.000000000000000056e-01,3.162277660168379134e-02,3.011367007481285593e-02,2.267082813436697953e-04,1.204546802992514194e-03,4.534165626873396990e-04,6.022734014962572054e-04,1.509106526870936712e-03,6.641501999030018366e-01,1.600627764044737944e+00,1.600907297945994845e+00,1.273998689546807839e+00,1.273478034601454922e+00,1.110223024625156540e-16
1.000000000000000056e-01,3.831186849557287333e-02,3.627087465429901930e-02,3.288940870469678180e-04,1.450834986171960954e-03,6.577881740939354191e-04,7.254174930859803687e-04,2.040993841273851424e-03,5.514066090388447527e-01,1.644197777292514928e+00,1.644576343928003448e+00,1.312413225947885564e+00,1.311951507736919931e+00,2.220446049250313081e-16
